epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8209,1.66813,7.15796,1.47086,0.02394,0.18333,0.01829,0.01086,1.2882,5.26596,1.36123,2.997e-05,2.997e-05,2.997e-05
2,21.5324,1.26815,5.21866,1.21082,0.54682,0.15,0.1881,0.13728,1.01682,4.25701,1.13431,6.2226e-05,6.2226e-05,6.2226e-05
3,29.0893,1.18528,4.0033,1.12828,0.34624,0.45,0.26699,0.19908,0.92817,4.05665,1.03118,9.33832e-05,9.33832e-05,9.33832e-05
4,36.6843,1.13786,3.47632,1.09262,0.25416,0.50333,0.41417,0.32325,0.89788,3.54051,0.94504,0.000123441,0.000123441,0.000123441
5,44.578,1.02486,3.11,1.06577,0.54811,0.59097,0.62253,0.45543,0.90838,2.88302,1.02136,0.000152401,0.000152401,0.000152401
6,52.3075,1.01909,2.6744,1.03717,0.79946,0.72027,0.72762,0.53599,0.90869,2.22043,1.04048,0.000180261,0.000180261,0.000180261
7,59.3761,0.96062,2.26703,1.01236,0.66481,0.61846,0.70394,0.57459,0.90017,2.08247,0.97678,0.000207023,0.000207023,0.000207023
8,66.8544,0.96356,2.3446,1.03831,0.84531,0.55577,0.76287,0.60898,0.90578,1.85019,0.99884,0.000232685,0.000232685,0.000232685
9,74.6026,1.0227,2.07022,1.02294,0.67952,0.74929,0.85151,0.63025,1.00602,1.69406,1.05164,0.000257249,0.000257249,0.000257249
10,82.1673,0.93544,1.83504,1.02956,0.5571,0.86886,0.867,0.65806,0.91865,1.50941,1.00776,0.000280714,0.000280714,0.000280714
11,89.4439,0.92109,1.70942,1.03847,0.47202,0.71111,0.82621,0.64872,0.86982,1.36267,0.95605,0.000278055,0.000278055,0.000278055
12,96.8199,0.85557,1.52631,0.99524,0.89193,0.65168,0.92643,0.75096,0.80455,1.31163,0.92062,0.000272561,0.000272561,0.000272561
13,104.299,0.8582,1.40477,0.98576,0.81455,0.73979,0.93333,0.77381,0.80499,1.12668,0.94032,0.000267066,0.000267066,0.000267066
14,111.723,0.88877,1.32939,0.97415,0.795,0.78441,0.95,0.79052,0.79791,1.01377,0.92527,0.000261572,0.000261572,0.000261572
15,118.35,0.9086,1.26141,1.00399,0.88925,0.8415,0.98357,0.82719,0.8355,0.85698,0.9246,0.000256077,0.000256077,0.000256077
16,125.506,0.89601,1.20958,1.00237,0.90837,0.80983,0.995,0.80321,0.76658,0.81261,0.94135,0.000250583,0.000250583,0.000250583
17,132.429,0.88135,1.10087,0.99105,0.73377,0.94395,0.95857,0.78359,0.76699,0.95145,0.92413,0.000245088,0.000245088,0.000245088
18,139.228,0.81961,1.09285,0.98298,0.72687,0.91,0.93569,0.75227,0.79599,0.92948,0.94464,0.000239594,0.000239594,0.000239594
19,146.257,0.79267,0.99226,0.96524,0.89379,0.84076,0.95491,0.75821,0.80713,0.85046,0.93606,0.000234099,0.000234099,0.000234099
20,153.618,0.80177,0.93333,0.98237,0.89126,0.95195,0.95403,0.75865,0.75559,0.80154,0.91123,0.000228605,0.000228605,0.000228605
21,160.572,0.82891,0.97709,0.97687,0.69743,0.96,0.95667,0.7888,0.75908,0.85569,0.90374,0.00022311,0.00022311,0.00022311
22,167.649,0.76037,0.83934,0.92508,0.76415,0.9753,0.97262,0.83455,0.71737,0.77369,0.89241,0.000217616,0.000217616,0.000217616
23,174.749,0.79584,0.81332,0.96906,0.7408,0.97803,0.97,0.79156,0.73043,0.70317,0.90127,0.000212121,0.000212121,0.000212121
24,181.733,0.74566,0.83815,0.94372,0.85244,0.88134,0.97,0.79268,0.76733,0.67704,0.92901,0.000206627,0.000206627,0.000206627
25,188.6,0.76283,0.79152,0.94586,0.86221,0.88432,0.97,0.79607,0.77957,0.67853,0.9443,0.000201132,0.000201132,0.000201132
26,195.848,0.80071,0.83033,0.96235,0.8081,0.97085,0.97,0.79898,0.75765,0.78884,0.92856,0.000195637,0.000195637,0.000195637
27,202.902,0.73317,0.77465,0.96135,0.88646,0.87068,0.94525,0.77875,0.76802,0.78898,0.91441,0.000190143,0.000190143,0.000190143
28,209.934,0.75323,0.78603,0.95592,0.8947,0.8502,0.97833,0.80713,0.75947,0.67428,0.90931,0.000184649,0.000184649,0.000184649
29,216.897,0.765,0.80366,0.96324,0.82359,0.92422,0.995,0.8176,0.78802,0.66674,0.92266,0.000179154,0.000179154,0.000179154
30,224.115,0.74195,0.74182,0.93012,0.89991,0.91786,0.995,0.80602,0.83119,0.57923,0.93852,0.00017366,0.00017366,0.00017366
31,231.146,0.74437,0.72262,0.95205,0.92857,0.86413,0.96667,0.80408,0.7793,0.64697,0.89959,0.000168165,0.000168165,0.000168165
32,238.012,0.71188,0.72791,0.94622,0.86724,0.9129,0.97,0.78675,0.83699,0.59847,0.92947,0.00016267,0.00016267,0.00016267
33,244.924,0.75586,0.67748,0.95263,0.91772,0.94284,0.97,0.80803,0.78703,0.52766,0.91242,0.000157176,0.000157176,0.000157176
34,251.841,0.73008,0.64922,0.94863,0.92437,0.98767,0.995,0.81761,0.82127,0.46257,0.91482,0.000151682,0.000151682,0.000151682
35,258.544,0.71105,0.623,0.93311,0.94254,0.9604,0.995,0.81544,0.8186,0.47998,0.90267,0.000146187,0.000146187,0.000146187
36,265.631,0.71423,0.63628,0.93096,0.8525,0.9531,0.94525,0.78459,0.81882,0.70725,0.90926,0.000140692,0.000140692,0.000140692
37,272.477,0.70126,0.68316,0.93028,0.86978,0.92861,0.93025,0.75917,0.80831,0.76636,0.91431,0.000135198,0.000135198,0.000135198
38,279.675,0.67269,0.63812,0.92996,0.85952,0.91896,0.93858,0.75777,0.81782,0.60527,0.93053,0.000129703,0.000129703,0.000129703
39,286.631,0.71929,0.61568,0.95454,0.89117,0.92081,0.97,0.81273,0.82133,0.51142,0.92506,0.000124209,0.000124209,0.000124209
40,293.68,0.68047,0.63987,0.92861,0.94353,0.93379,0.97,0.82072,0.78873,0.45262,0.89653,0.000118714,0.000118714,0.000118714
41,300.974,0.65722,0.55943,0.91189,0.9201,0.94191,0.97,0.83384,0.77707,0.44588,0.88778,0.00011322,0.00011322,0.00011322
42,308.119,0.70075,0.58244,0.92813,0.92433,0.9205,0.97,0.82947,0.76804,0.45588,0.88707,0.000107726,0.000107726,0.000107726
43,315.021,0.68661,0.6185,0.95097,0.88419,0.96277,0.97833,0.8294,0.77944,0.46072,0.90212,0.000102231,0.000102231,0.000102231
